,oid,category
248,45918031,athletics
249,435847516,volleyball
250,703540237,athletics
251,285269308,football
252,800426014,winter_sport
253,570225132,boardgames
255,379707522,motosport
256,961037402,extreme
257,145846507,motosport
258,675338101,football
259,611637936,hockey
260,178373718,extreme
261,58022005,boardgames
262,493291122,autosport
264,280458608,athletics
265,203609815,esport
266,309347409,tennis
267,763019216,autosport
269,68737418,winter_sport
270,675267313,winter_sport
271,737880515,basketball
272,420029112,autosport
273,353081737,tennis
274,893681523,athletics
276,645562129,athletics
277,798959002,tennis
278,517149005,basketball
279,720194726,motosport
280,938731820,basketball
281,656339234,hockey
283,730917226,hockey
284,479886838,autosport
285,727066931,extreme
287,382790721,esport
292,765370701,motosport
293,930647729,volleyball
294,905511805,esport
295,75344628,volleyball
296,247095126,esport
297,559217017,motosport
299,919523134,tennis
300,735630433,extreme
301,606729828,football
302,691699936,martial_arts
303,853736228,esport
306,24580105,football
307,191288802,extreme
308,810672125,motosport
309,796343309,tennis
310,188871818,boardgames
311,969939508,tennis
314,433461909,motosport
315,840167802,volleyball
317,630596921,athletics
318,468180423,basketball
319,869290538,boardgames
320,24664535,esport
321,114099424,esport
323,444234900,tennis
324,88427238,volleyball
325,597320201,athletics
328,976183800,esport
329,814378832,motosport
330,404734609,winter_sport
332,952424029,martial_arts
333,961573518,football
334,257082031,boardgames
335,189606914,martial_arts
340,137678818,motosport
342,390326813,martial_arts
343,456256906,volleyball
344,744621104,football
346,335696332,extreme
350,698725904,football
354,995500139,boardgames
355,732719339,extreme
356,110161928,autosport
357,87645031,boardgames
361,365447126,motosport
364,675221606,martial_arts
365,327373427,basketball
366,590168531,football
367,673717013,football
368,15687720,boardgames
370,248974925,martial_arts
372,406687238,esport
373,882640123,football
374,714234514,motosport
375,432727237,martial_arts
378,139939618,extreme
382,839030107,football
383,731046922,athletics
385,826403605,basketball
387,767166235,autosport
388,455599238,athletics
391,9419231,esport
393,147606020,motosport
394,696853732,extreme
395,36443103,football
396,247095126,esport
397,314730615,tennis
399,7101715,hockey
401,440346237,motosport
402,869551220,esport
403,158877415,autosport
405,777388529,tennis
406,656339234,hockey
407,595894929,basketball
408,300018033,boardgames
409,81295517,volleyball
410,252055117,motosport
412,158959036,motosport
414,685187327,autosport
415,968492435,basketball
417,325137301,athletics
419,241306824,athletics
420,189202917,winter_sport
421,877868208,basketball
424,190675501,winter_sport
425,723062002,athletics
426,184257327,motosport
428,729168834,volleyball
429,24664535,esport
430,75044739,extreme
431,977791728,martial_arts
434,588492128,boardgames
435,503286621,volleyball
437,216451201,esport
438,490004308,tennis
443,586438336,volleyball
444,810648433,volleyball
445,963933706,esport
447,412582902,autosport
449,245636707,extreme
450,235819036,volleyball
451,172134431,autosport
452,193979004,tennis
453,704493238,basketball
454,365511913,athletics
455,32860111,tennis
458,650371125,extreme
460,606174933,basketball
462,452466036,martial_arts
463,560285439,hockey
465,881719908,football
467,732845834,basketball
468,357831525,winter_sport
469,433461909,motosport
471,58905212,esport
473,541204520,basketball
474,814144025,extreme
475,682868217,autosport
476,346973015,volleyball
477,110567026,athletics
478,673423735,motosport
479,136458830,winter_sport
481,675949807,basketball
484,214726412,athletics
487,573599818,extreme
488,858270913,basketball
489,69666901,esport
490,175917715,tennis
491,323016022,tennis
492,501365320,autosport
495,283290130,football
496,876801624,basketball
498,808720707,martial_arts
499,977791728,martial_arts
500,541204520,athletics
501,318513918,extreme
502,976274208,hockey
503,780437412,boardgames
504,146978633,extreme
505,932162114,basketball
508,950318127,winter_sport
509,368142822,autosport
510,397238625,extreme
512,162043401,basketball
513,58524106,basketball
515,553288426,martial_arts
516,524426623,tennis
517,695005818,athletics
518,656339234,hockey
519,202488729,hockey
520,393407803,boardgames
521,631388434,boardgames
523,194289811,basketball
524,718265512,esport
527,842094317,martial_arts
528,939633505,athletics
529,483184820,tennis
530,306441436,autosport
531,277343111,tennis
532,118582030,autosport
533,893681523,athletics
534,74652019,football
535,860103302,tennis
538,191288802,extreme
539,152645515,boardgames
540,638690823,autosport
541,461478321,motosport
542,892724112,motosport
543,940643711,volleyball
544,216195912,winter_sport
546,888914411,boardgames
553,246280803,tennis
554,874257909,motosport
555,58022005,boardgames
556,893681523,athletics
557,281743839,extreme
558,802894535,tennis
559,538156330,athletics
560,193979004,tennis
561,340097918,tennis
562,484354931,volleyball
563,207420208,autosport
564,720700227,volleyball
566,676903235,boardgames
567,53073826,volleyball
568,244390012,motosport
569,533687714,motosport
572,720980602,athletics
574,200830226,extreme
575,372619507,martial_arts
576,430070319,athletics
578,185046019,volleyball
580,58056119,motosport
581,416384822,volleyball
583,742321024,hockey
585,587551436,motosport
586,502274308,volleyball
588,70553008,martial_arts
589,625733917,volleyball
590,101931638,esport
592,175877702,winter_sport
593,32734003,autosport
594,197069007,autosport
595,119067016,football
596,447899916,volleyball
598,161038103,tennis
599,555013438,autosport
600,271744519,martial_arts
601,923012209,volleyball
602,222516037,martial_arts
603,389639538,extreme
606,253041238,autosport
608,582543434,autosport
609,898891936,winter_sport
610,181151513,athletics
611,636813919,basketball
612,402635101,hockey
614,757687928,tennis
616,234810038,extreme
618,694334802,football
619,555020016,esport
621,634077333,football
623,114597920,athletics
624,673717013,football
625,320128527,esport
627,347076136,hockey
628,75044739,extreme
629,943736224,esport
630,134805635,volleyball
631,636606912,boardgames
632,105159200,martial_arts
634,487808124,hockey
635,940142725,athletics
637,542970915,tennis
638,653139422,volleyball
639,759335729,extreme
641,169782234,autosport
642,976726439,martial_arts
643,528610528,football
644,99316638,volleyball
647,663177038,autosport
648,481791707,motosport
649,978152436,basketball
650,793498528,martial_arts
653,683004715,hockey
654,300698829,autosport
655,626724033,autosport
660,699404808,martial_arts
664,939038022,motosport
665,209418931,boardgames
666,891334035,motosport
667,281906302,basketball
669,291959212,tennis
670,474818525,esport
673,358634928,motosport
674,724915531,boardgames
677,254914715,volleyball
679,837411601,volleyball
680,165033105,esport
681,199260030,boardgames
683,206039507,boardgames
684,470533206,martial_arts
685,113480613,boardgames
686,865319020,motosport
689,466833200,volleyball
693,801282329,volleyball
695,77263526,tennis
698,844717635,extreme
701,234810038,martial_arts
702,249356330,autosport
704,330126734,hockey
705,411875725,volleyball
706,663177038,autosport
707,137256429,autosport
709,615111916,basketball
712,341006523,tennis
713,477358811,hockey
715,38686015,autosport
716,963404719,autosport
718,692941415,tennis
719,454649416,tennis
720,542017229,athletics
722,328610001,athletics
723,543395536,extreme
724,675221606,martial_arts
725,395618404,martial_arts
727,257343433,extreme
728,610069617,motosport
729,584891828,motosport
732,949858220,motosport
733,804591616,autosport
734,219391807,volleyball
735,512892704,winter_sport
736,281906302,basketball
738,951953731,motosport
739,777792529,football
744,947138900,boardgames
745,223866238,motosport
746,762195413,athletics
748,75263528,volleyball
751,119067016,football
752,358997321,motosport
753,588492128,boardgames
755,944232732,hockey
756,896615205,extreme
758,502752932,winter_sport
761,194486402,winter_sport
763,32712332,autosport
764,246331928,tennis
765,34632917,volleyball
766,87954633,tennis
768,542017229,athletics
769,636813919,basketball
770,474341536,winter_sport
771,876929904,volleyball
772,789662714,extreme
773,846438937,autosport
774,431515801,hockey
775,557484721,tennis
776,377199730,motosport
777,876642405,hockey
778,394896621,esport
780,174798230,tennis
782,163251509,winter_sport
788,346300139,hockey
789,758155538,football
791,168872231,martial_arts
793,162356801,athletics
795,753777205,boardgames
797,842094317,martial_arts
798,850982633,boardgames
799,279774419,volleyball
800,703540237,athletics
802,369349736,esport
805,693946932,volleyball
807,21713406,martial_arts
808,380924325,extreme
810,471648831,volleyball
812,188076806,boardgames
813,303714903,motosport
814,963404719,autosport
815,628940512,basketball
816,269135832,winter_sport
820,291959212,tennis
821,303858215,motosport
823,858270913,basketball
825,479886838,autosport
826,950046422,basketball
827,808026519,extreme
828,344085216,boardgames
829,937276635,hockey
830,125860219,hockey
831,271336732,tennis
833,126462019,motosport
837,746261621,boardgames
838,619492408,football
839,121966812,volleyball
841,300376018,boardgames
844,718004107,winter_sport
846,716233230,hockey
847,118342520,hockey
849,439607625,volleyball
850,78410435,martial_arts
851,980421624,tennis
852,254489118,tennis
853,682407200,extreme
854,834897309,volleyball
855,988414209,motosport
856,753777205,boardgames
857,401817323,autosport
858,999374432,hockey
859,32734003,autosport
860,277075235,extreme
862,634720110,winter_sport
863,359331738,hockey
864,156539705,motosport
865,794004500,basketball
867,23220639,tennis
868,552724006,tennis
871,472102715,boardgames
872,772243338,basketball
873,718731007,hockey
874,347660221,hockey
876,539465706,tennis
877,946552139,motosport
878,869684202,winter_sport
879,24530913,boardgames
880,30987817,boardgames
881,571944417,boardgames
883,672291907,tennis
886,950610502,athletics
888,148389602,basketball
889,722326419,volleyball
890,608008318,hockey
891,330126734,hockey
892,866166836,extreme
893,58828435,basketball
894,293257727,extreme
896,890975533,basketball
897,335696332,extreme
900,345928610,winter_sport
901,541204520,basketball
902,910049717,athletics
906,538156330,athletics
907,819414509,athletics
908,982459907,motosport
910,283290130,football
911,839901317,boardgames
914,8754004,boardgames
915,750123821,esport
916,568705033,hockey
918,424194001,athletics
919,36443103,football
920,327734729,boardgames
921,881714831,boardgames
922,639255416,volleyball
923,905699705,hockey
924,165536929,basketball
926,996508807,athletics
928,303714903,motosport
931,495993616,autosport
932,305659608,esport
933,646468605,esport
934,58828435,basketball
935,734773828,tennis
936,427405525,hockey
937,282161237,hockey
938,363280212,tennis
939,342217239,esport
940,379707522,motosport
941,144253338,esport
942,85587732,extreme
943,46396337,boardgames
945,188914633,hockey
946,831798502,boardgames
947,199260030,boardgames
948,549731702,motosport
949,699404808,martial_arts
950,949907629,boardgames
951,738065626,autosport
952,169650018,extreme
954,28987600,autosport
955,427947126,winter_sport
958,687457825,autosport
960,8754004,boardgames
964,898943337,boardgames
966,601670421,extreme
967,918780108,martial_arts
968,24580105,football
969,171566920,boardgames
970,383370828,athletics
971,165303039,winter_sport
973,696619008,athletics
974,541587109,motosport
975,427947126,winter_sport
976,502126414,autosport
978,536016915,extreme
979,336192226,motosport
980,757840314,football
981,636606912,boardgames
983,194289811,basketball
984,126462019,motosport
985,934770635,volleyball
986,111216229,tennis
988,180773232,tennis
989,171386911,esport
991,493329800,basketball
992,950046422,basketball
993,947275916,tennis
994,893681523,athletics
995,924380421,athletics
996,306975214,football
997,514263414,volleyball
998,286637611,basketball
999,143952121,boardgames
1001,607642001,winter_sport
1002,603928716,basketball
1007,357676832,esport
1010,762195413,athletics
1011,402635101,hockey
1012,835396802,football
1013,871940439,tennis
1015,648536421,football
1016,137678818,motosport
1017,584891828,motosport
1018,536016915,extreme
1019,510637726,athletics
1020,449704704,volleyball
1021,32860111,martial_arts
1022,110973925,athletics
1023,901627909,volleyball
1025,711716415,tennis
1027,381517915,tennis
1028,26690326,boardgames
1032,358793829,martial_arts
1033,286516630,autosport
1034,592032236,extreme
1035,938672803,athletics
1038,968694134,esport
1039,194604309,basketball
1040,754799230,boardgames
1041,470130924,autosport
1042,963893835,esport
1045,62850008,esport
1046,704972525,motosport
1047,354880700,tennis
1048,387687703,tennis
1049,111296917,boardgames
1050,459391931,esport
1051,391708030,athletics
1053,591630036,basketball
1054,526305739,boardgames
1055,832060730,winter_sport
1057,503286621,volleyball
1058,697977732,volleyball
1060,282476217,basketball
1061,374976917,martial_arts
1066,691196826,hockey
1069,401592234,hockey
1071,129966125,motosport
1072,60784503,esport
1074,959949902,motosport
1075,961447120,football
1077,381175229,basketball
1079,64505925,hockey
1080,194486402,winter_sport
1081,884639615,autosport
1082,942291028,autosport
1085,757129532,football
1087,548889408,boardgames
1088,698146809,basketball
1089,543463128,football
1090,409341814,volleyball
1092,125615617,football
1093,988414209,motosport
1094,621181023,extreme
1097,360665210,football
1098,929177628,winter_sport
1101,382246238,autosport
1102,69700733,autosport
1103,392801401,tennis
1108,675267313,winter_sport
1109,484770022,winter_sport
1110,342217239,esport
1111,580543820,athletics
1112,563700604,esport
1116,628345539,winter_sport
1117,748171722,volleyball
1118,92405418,autosport
1119,759680207,tennis
1120,363870539,volleyball
1121,559886937,hockey
1122,681724533,athletics
1123,706187615,esport
1125,197069007,autosport
1126,3905302,boardgames
1127,294739001,volleyball
1128,248974925,martial_arts
1130,442404133,basketball
1132,120774419,basketball
1133,834897309,volleyball
1134,930647729,volleyball
1135,238482914,football
1136,621089234,extreme
1137,861225637,volleyball
1138,573728221,volleyball
1139,985825903,winter_sport
1140,699833027,motosport
1141,595894929,basketball
1142,754130730,boardgames
1143,446372811,motosport
1144,520171005,football
1146,309752232,volleyball
1147,342217239,esport
1148,350292811,football
1149,853318705,basketball
1150,365639217,basketball
1153,862074312,tennis
1154,842595938,basketball
1156,982942625,athletics
1157,723736924,athletics
1158,311125219,boardgames
1159,841922601,motosport
1160,372120119,basketball
1164,733364110,autosport
1165,388651911,winter_sport
1166,927384902,martial_arts
1167,630923338,esport
1169,742720004,boardgames
1170,567751832,motosport
1171,205108616,martial_arts
1172,8071108,extreme
1175,780661336,motosport
1176,717515711,volleyball
1183,662150224,football
1184,445858313,basketball
1185,280458608,athletics
1186,895783211,martial_arts
1187,461478321,motosport
1188,983658124,athletics
1189,723177305,volleyball
1190,933474909,autosport
1191,38798826,autosport
1192,946552139,motosport
1193,8591509,basketball
1194,438797216,tennis
1195,673423735,motosport
1197,59932732,hockey
1198,227716111,basketball
1199,493329800,basketball
1200,310271910,volleyball
1201,12747705,winter_sport
1203,557277126,athletics
1204,371253809,esport
1205,581191034,athletics
1206,463889624,boardgames
1207,332429417,motosport
1210,247095126,esport
1212,120129717,boardgames
1214,613449708,basketball
1215,705736306,football
1216,941480814,esport
1217,443233908,winter_sport
1218,686389628,extreme
1220,451119206,martial_arts
1221,195814323,football
1222,954498427,tennis
1223,77255925,athletics
1224,801282329,volleyball
1225,697207714,football
1226,438797216,tennis
1228,115396210,extreme
1229,115166329,boardgames
1230,670133125,motosport
1231,22036439,athletics
1233,178373718,volleyball
1235,153599208,esport
1237,831253324,motosport
1239,13562224,extreme
1240,810245338,football
1241,87851008,hockey
1242,378373822,martial_arts
1243,821877603,extreme
1244,552093907,volleyball
1245,961334227,boardgames
1246,391708030,athletics
1247,173808905,basketball
1249,694176212,extreme
1250,918645004,martial_arts
1252,444009223,athletics
1254,814378832,motosport
1255,878785139,winter_sport
1256,316651621,motosport
1258,178038606,boardgames
1259,881719908,football
1260,307022516,boardgames
1261,975627500,esport
1264,793483105,winter_sport
1265,971344832,hockey
1270,636606912,boardgames
1271,973446521,boardgames
1272,960682626,extreme
1273,32712332,autosport
1276,624254822,volleyball
1277,167479026,volleyball
1278,716730813,athletics
1279,195663706,esport
1280,695058203,athletics
1282,791826507,motosport
1283,755173525,football
1284,607849319,extreme
1285,350509934,boardgames
1286,867549202,boardgames
1287,468287808,esport
1289,794004500,basketball
1290,692248707,boardgames
1291,207891029,athletics
1293,358893334,autosport
1294,252958212,winter_sport
1296,243150312,winter_sport
1297,610608320,martial_arts
1300,441983510,athletics
1301,996141322,extreme
1302,5492000,boardgames
1303,192169939,volleyball
1304,172168003,athletics
1305,653555418,autosport
1306,709646319,tennis
1307,523427029,motosport
1308,750529123,esport
1309,890548501,autosport
1310,908844019,boardgames
1311,497868207,volleyball
1314,679839112,winter_sport
1315,882288416,volleyball
1316,446372811,motosport
1317,327373427,basketball
1318,230468518,tennis
1319,551269718,volleyball
1322,312888017,martial_arts
1323,8591509,basketball
1324,558167517,football
1326,737153530,autosport
1327,661807414,boardgames
1328,487808124,hockey
1330,349384717,basketball
1331,120774419,basketball
1333,931808713,athletics
1334,189202917,winter_sport
1336,901212909,motosport
1337,133265812,motosport
1339,577870231,basketball
1340,434086932,esport
1341,92620918,winter_sport
1343,564459708,tennis
1344,661402108,autosport
1346,590978210,volleyball
1348,881719908,football
1349,381979729,winter_sport
1351,324896016,winter_sport
1353,682654027,winter_sport
1356,481791707,motosport
1358,320128527,esport
1360,570742820,boardgames
1362,762195413,athletics
1364,411869717,martial_arts
1366,380924325,extreme
1370,324255428,motosport
1374,449702027,basketball
1375,370655126,tennis
1376,875981233,autosport
1377,138603234,extreme
1378,647706002,motosport
1379,675267313,winter_sport
1380,375680603,volleyball
1381,473008422,autosport
1382,454649416,tennis
1383,902512702,winter_sport
1387,568346001,volleyball
1389,687457825,autosport
1390,968492435,basketball
1391,429186739,martial_arts
1392,9419231,esport
1393,773806324,winter_sport
1395,720194726,motosport
1396,808599916,hockey
1397,949032612,boardgames
1398,16717100,athletics
1401,901046514,tennis
1402,786309406,volleyball
1403,731705227,extreme
1404,210153012,winter_sport
1405,824729512,athletics
1406,733716720,martial_arts
1407,405617038,winter_sport
1408,216695313,basketball
1409,254005736,martial_arts
1412,28987600,autosport
1413,188076806,boardgames
1414,354880700,tennis
1416,388468131,boardgames
1418,570876811,extreme
1420,252055117,motosport
1423,279774419,volleyball
1424,134189922,winter_sport
1425,152217002,basketball
1426,143397604,athletics
1427,922406933,football
1429,197131118,football
1430,23592715,winter_sport
1431,993159701,football
1432,747366802,volleyball
1433,488107817,winter_sport
1434,152645515,boardgames
1435,403183304,football
1436,120384031,hockey
1437,640825236,motosport
1438,885530530,hockey
1442,612800229,boardgames
1444,192169939,volleyball
1445,46557902,extreme
1446,882038106,extreme
1448,608221321,hockey
1449,909250315,extreme
1450,213444212,winter_sport
1452,50649411,boardgames
1453,291959212,tennis
1454,602470622,esport
1455,502752932,winter_sport
1456,523843812,winter_sport
1458,401762737,autosport
1461,602470622,esport
1462,588492128,boardgames
1464,527137328,football
1465,856701516,extreme
1466,739394931,motosport
1467,358997321,motosport
1468,243857625,hockey
1469,604360123,athletics
1470,655435538,autosport
1471,60377539,tennis
1472,986936309,winter_sport
1473,415671629,esport
1474,992331419,autosport
1476,883757433,tennis
1477,815797438,tennis
1481,999374432,football
1482,724468930,autosport
1483,1663817,autosport
1484,367642407,martial_arts
1485,864087326,winter_sport
1486,679839112,winter_sport
1488,152027915,tennis
1489,409341814,volleyball
1490,369774809,basketball
1492,465964406,esport
1494,384129821,athletics
1495,159768514,basketball
1496,961334227,boardgames
1497,120860807,esport
1498,261262031,motosport
1501,175060434,autosport
1502,920584035,esport
1503,230468518,tennis
1504,888762027,tennis
1505,445982121,athletics
1508,929177628,winter_sport
1509,999361308,tennis
1511,692130106,basketball
1514,695058203,athletics
1515,300698829,autosport
1516,338061502,football
1520,300976628,martial_arts
1521,669684718,winter_sport
1523,869684202,winter_sport
1524,357831525,winter_sport
1526,698962202,boardgames
1527,513724303,volleyball
1528,608530528,boardgames
1529,779040219,winter_sport
1530,500385906,martial_arts
1531,700486922,boardgames
1541,850748314,motosport
1542,841198827,basketball
1544,3905302,boardgames
1545,467539521,basketball
1548,919422928,esport
1549,809470704,basketball
1550,327143311,winter_sport
1551,555020016,esport
1552,193630610,martial_arts
1553,733036217,extreme
1554,183300802,football
1556,439735436,volleyball
1558,431515801,hockey
1560,270174326,football
1561,557277126,athletics
1562,544508231,esport
1566,610419433,esport
1567,518838020,hockey
1568,91586935,athletics
1572,688031531,martial_arts
1574,791826507,motosport
1575,462553428,hockey
1577,947138900,boardgames
1580,932162114,basketball
1581,610419433,esport
1582,793527036,martial_arts
1583,372619507,martial_arts
1585,729244921,basketball
1586,129257723,winter_sport
1587,552093907,volleyball
1589,810672125,motosport
1590,831430707,football
1591,804087221,extreme
1592,601670421,extreme
1593,346973015,volleyball
1594,356229300,volleyball
1596,781534022,motosport
1597,776359438,tennis
1598,713499939,tennis
1599,332656608,athletics
1600,812009012,tennis
1601,189715923,autosport
1602,11907137,tennis
1603,723736924,athletics
1604,779040219,winter_sport
1606,916355700,esport
1607,215038522,volleyball
1608,901627909,volleyball
1609,150717204,volleyball
1611,792960709,extreme
1613,294997620,tennis
1615,195663706,esport
1616,297310427,winter_sport
1618,750283334,volleyball
1619,910049717,athletics
1622,689420739,motosport
1624,700486922,boardgames
1625,343811314,martial_arts
1626,729848700,athletics
1628,943736224,esport
1629,573844036,basketball
1630,820117632,basketball
1631,734592127,athletics
1633,126462019,motosport
1635,29843836,martial_arts
1636,46365838,esport
1637,515359008,extreme
1638,868970032,esport
1639,788252431,football
1640,686389628,extreme
1641,909638205,esport
1642,19561637,autosport
1643,324968820,football
1644,723062002,athletics
1645,321638212,extreme
1646,277505118,football
1647,986135626,esport
1648,193630610,martial_arts
1649,517683527,motosport
1651,996141322,extreme
1653,704493238,basketball
1655,753777205,boardgames
1657,227173108,boardgames
1661,655829522,autosport
1663,881759832,athletics
1664,490784125,autosport
1666,750019213,volleyball
1668,272974518,motosport
1669,545066315,autosport
1672,617202308,autosport
1674,345928610,winter_sport
1675,406191709,motosport
1678,960682626,extreme
1679,150654128,boardgames
1681,918645004,martial_arts
1682,126999231,winter_sport
1684,723062002,athletics
1688,345928610,winter_sport
1689,219875603,football
1690,974417010,volleyball
1691,353182908,autosport
1692,38686015,autosport
1694,892988615,martial_arts
1695,633910216,boardgames
1697,336192226,motosport
1698,245330532,basketball
1699,544399530,athletics
1701,510637726,athletics
1702,777001005,martial_arts
1704,623907520,athletics
1705,985913429,volleyball
1706,674662713,hockey
1708,733034205,boardgames
1709,965232823,extreme
1710,287890211,martial_arts
1711,119280019,martial_arts
1713,8589632,winter_sport
1714,334504900,hockey
1715,466949309,tennis
1716,846438937,autosport
1717,17142414,autosport
1718,164938627,athletics
1721,85587732,extreme
1722,969939508,tennis
1723,558456732,boardgames
1725,988540723,martial_arts
1726,515359008,extreme
1727,542055201,winter_sport
1728,525872608,football
1729,805618829,basketball
1730,358893334,autosport
1731,819595634,autosport
1733,767166235,autosport
1734,570742820,boardgames
1735,993241304,autosport
1736,76441934,extreme
1737,137678818,motosport
1738,245680408,martial_arts
1742,403183304,football
1744,802894535,tennis
1746,24580105,football
1749,205108616,martial_arts
1751,955803014,winter_sport
1754,612806513,athletics
1755,227173108,boardgames
1756,472102715,boardgames
1758,685403029,basketball
1759,289941403,volleyball
1760,178038606,boardgames
1762,279369911,volleyball
1763,222647821,winter_sport
1764,880206236,tennis
1765,494399433,motosport
1770,75044739,extreme
1771,710737629,motosport
1775,165629003,martial_arts
1776,236809623,hockey
1777,718731007,hockey
1778,801282329,volleyball
1779,906862823,tennis
1781,630596921,athletics
1786,438797216,tennis
1787,966648738,motosport
1788,400493824,hockey
1789,231379431,basketball
1790,8754004,boardgames
1791,289099909,winter_sport
1792,973568134,football
1793,242999722,autosport
1795,676100714,motosport
1798,71917426,tennis
1799,697719516,extreme
1800,795681906,autosport
1801,461294623,hockey
1802,996348826,martial_arts
1803,449803432,basketball
1804,549787313,martial_arts
1805,185251920,martial_arts
1808,261289836,basketball
1809,370655126,tennis
1810,163251509,winter_sport
1811,124259218,winter_sport
1812,595894929,basketball
1813,648146022,football
1814,514263414,volleyball
1816,269135832,winter_sport
1817,65417518,boardgames
1818,900952227,athletics
1819,853318705,basketball
1820,803373031,football
1821,551969303,martial_arts
1822,482188421,esport
1823,966922207,basketball
1824,374976917,martial_arts
1825,697977732,volleyball
1826,364130824,tennis
1827,681167633,athletics
1828,855343237,boardgames
1829,759592926,winter_sport
1830,583140311,basketball
1831,128444506,tennis
1832,718004107,winter_sport
1834,31847117,winter_sport
1835,810245338,football
1836,257167133,boardgames
1837,69666901,esport
1838,543359603,motosport
1839,651673205,volleyball
1840,810354239,autosport
1843,525872608,football
1845,878785139,winter_sport
1846,215529508,volleyball
1847,854520310,autosport
1848,742321024,hockey
1849,656137117,esport
1850,552093907,volleyball
1851,125722831,basketball
1853,552093907,volleyball
1854,588492128,boardgames
1855,374976917,martial_arts
1857,696044911,autosport
1859,363011237,esport
1860,683008120,tennis
1861,483184820,tennis
1862,627428414,basketball
1863,192794930,athletics
1864,5492000,boardgames
1866,144253338,esport
1867,479245314,volleyball
1869,481188838,hockey
1872,514263414,volleyball
1876,91586935,athletics
1880,194289811,basketball
1881,905221839,athletics
1883,77255925,athletics
1884,433229230,martial_arts
1888,996141322,extreme
1889,597756035,autosport
1890,284265324,winter_sport
1891,692248707,boardgames
1892,28624709,basketball
1893,322201813,hockey
1895,227716111,basketball
1900,471765201,boardgames
1902,327096529,hockey
1903,238670820,extreme
1904,46557902,extreme
1908,936964719,volleyball
1910,699833027,motosport
1911,776303527,autosport
1912,634162404,tennis
1913,334504900,basketball
1923,772796121,winter_sport
1924,248182703,esport
1926,816073817,motosport
1929,526861338,tennis
1932,920712623,tennis
1933,282876503,motosport
1934,227173108,boardgames
1935,380447018,basketball
1936,940142725,athletics
1937,59719129,hockey
1938,214726412,athletics
1940,105994131,boardgames
1941,699404808,hockey
1943,876929904,volleyball
1949,245636707,motosport
1951,541034335,athletics
1952,39021409,motosport
1953,65368622,athletics
1956,924260407,autosport
1957,365447126,motosport
